brand,model,size,resolution,ref_rate,res_rate,panel_type,asp_ratio,price,curved,g_sync_compat,sync
Hannspree,HL248DPB,23.6,1920 x 1080,,5.0,,16:9,,False,False,
Hannspree,HL190ABB,18.5,1366 x 768,,5.0,,16:9,,False,False,
Eizo,MX210-BK,21.0,1600 x 1200,60.0,16.0,,4:3,,False,False,
Lenovo,LS1922,18.5,1366 x 768,,5.0,,16:9,,False,False,
NEC,LCD1990SXi,19.0,1280 x 1024,,18.0,,5:4,,False,False,
NEC,LCD1990SXi-BK,19.0,1280 x 1024,,18.0,IPS,5:4,,False,False,
Acer,B243HL DJObmdr,24.0,1920 x 1080,,5.0,,16:9,,False,False,
HP,LV1911,18.5,1366 x 768,60.0,5.0,,16:9,,False,False,
Toshiba,P1710A,17.0,1280 x 1024,75.0,5.0,,5:4,,False,False,
Lenovo,LS2221,21.5,1920 x 1080,,5.0,,16:9,,False,False,
ViewSonic,VA2232WM-LED,22.0,1680 x 1050,,5.0,,16:10,,False,False,
Lenovo,LS2421p,23.6,1920 x 1080,,5.0,,16:9,,False,False,
Planar,PL1900,19.0,1280 x 1024,,5.0,,5:4,,False,False,
Planar,PX2611W,26.0,1920 x 1200,,5.0,IPS,16:10,,False,False,
V7,LED236W3R-8N,24.0,1920 x 1080,75.0,5.0,,16:9,,False,False,
Lenovo,LT2252p,22.0,1680 x 1050,60.0,5.0,,16:10,,False,False,
LaCie,324i,24.0,1920 x 1200,60.0,6.0,IPS,16:10,,False,False,
DoubleSight,DS-1900S-R,19.0,1280 x 1024,60.0,8.0,,5:4,,False,False,
NEC,LCD175M-BK,17.0,1280 x 1024,,5.0,,5:4,,False,False,
Planar,PLL1910W,18.5,1366 x 768,60.0,5.0,,16:9,,False,False,
NEC,ASLCD93VX-BK,19.0,1280 x 1024,,5.0,,5:4,,False,False,
NEC,LCD2090UXi-1,20.1,1600 x 1200,,16.0,IPS,4:3,,False,False,
Eizo,SX2762W-BK,27.0,2560 x 1440,,6.0,IPS,16:9,,False,False,
NEC,LCD2490WUXi-BK-SV,24.1,1920 x 1200,,16.0,,16:10,,False,False,
NEC,LCD175VXM+BK,17.0,1280 x 1024,,5.0,,5:4,,False,False,
NEC,P232W-BK-SV,23.0,1920 x 1080,,8.0,IPS,16:9,,False,False,
NEC,P232W-BK,23.0,1920 x 1080,,8.0,IPS,16:9,,False,False,
ViewSonic,VG730M,17.0,1280 x 1024,,8.0,,5:4,,False,False,
NEC,EA222WMe-BK,22.0,1680 x 1050,,5.0,TN,16:10,,False,False,
LG,EW234T-PN,23.0,1920 x 1080,,5.0,TN,16:9,,False,False,
Planar,PL1910M,19.0,1280 x 1024,,5.0,,5:4,,False,False,
HP,L2311c,23.0,1920 x 1080,,5.0,TN,16:9,,False,False,
Planar,997-6498-00-BN,22.0,1920 x 1080,75.0,5.0,,16:9,,False,False,
