brand,model,core_count,core_clock,boost_clock,tdp,integrated_graphics,smt,price
AMD,A6-9500E,2,3,3.4,35,Radeon R5 (on die),No,77.39
Intel,Core i3-8300,4,3.7,,62,Intel UHD Graphics 630,No,208.71
AMD,FX-8350,8,4,,125,None,No,
Intel,Celeron G5920,2,3.5,,58,Intel UHD Graphics 610,No,61.99
Intel,Core i7-8700T,6,2.4,4,35,Intel UHD Graphics 630,Yes,296.00
AMD,Phenom II X4 965 Black,4,3.4,,125,None,No,
Intel,Core i9-9980XE,18,3,4.4,165,None,Yes,1136.04
AMD,A6-7470K,2,3.7,4,65,Radeon R5 (on die),No,105.27
Intel,Core i5-3550,4,3.3,,77,Intel HD Graphics 2500,No,303.97
AMD,FX-8300,8,3.3,,95,None,No,172.52
AMD,A10-7850K,4,3.7,4,95,Radeon R7 (on-die),No,273.83
AMD,FX-4350,4,4.2,,125,None,No,
Intel,Core i5-3450S,4,2.8,,65,Intel HD Graphics 2500,No,95.00
Intel,Xeon E3-1231 V3,4,3.4,3.8,80,None,Yes,505.29
Intel,Core i3-8100T,4,3.1,,35,Intel UHD Graphics 630,No,132.99
Intel,Core i7-4770K,4,3.5,3.9,84,Intel HD Graphics 4600,Yes,253.49
Intel,Pentium G645,2,2.9,,65,Intel HD Graphics 2500,No,93.35
AMD,FX-4100,4,3.6,,95,None,No,
Intel,Celeron E3500,2,2.7,,65,None,No,21.00
Intel,Core i7-6950X,10,3,3.5,140,None,Yes,1303.97
AMD,A8-5600K,4,3.6,,100,Radeon HD 7560D,No,
AMD,A10-5800K,4,3.8,,100,Radeon HD 7660D,No,
AMD,FX-9370,8,4.4,4.7,220,None,No,851.00
Intel,Core i3-6100,2,3.7,,51,Intel HD Graphics 530,Yes,169.71
Intel,Xeon E5-1630 V4,4,3.7,4,140,None,Yes,505.44
AMD,FX-6100,6,3.3,,95,None,No,
Intel,Core 2 Duo E8400,2,3,,65,None,No,40.02
Intel,Core i5-7500,4,3.4,3.8,65,Intel HD Graphics 630,No,
Intel,Core i7-960,4,3.2,,130,None,Yes,270.00
AMD,FX-8120,8,3.1,,125,None,No,
Intel,Core i9-7920X,12,2.9,4.4,140,None,Yes,673.74
Intel,Core i3-7100,2,3.9,,51,Intel HD Graphics 630,Yes,114.38
Intel,Core i9-9940X,14,3.3,4.4,165,None,Yes,799.99
Intel,Core i3-2130,2,3.4,,65,Intel HD Graphics 2000,Yes,95.01
Intel,Xeon E5-2698 V3,16,2.3,3.6,135,None,Yes,3411.44
Intel,Core i3-8100,4,3.6,,65,Intel UHD Graphics 630,No,166.20
AMD,Phenom II X6 1100T Black,6,3.3,,125,None,No,
Intel,Core i7-4790T,4,2.7,3.9,45,None,Yes,203.86
AMD,A10-7890K,4,4.1,4.3,95,Radeon R7 (on-die),No,408.99
Intel,Core i5-7640X,4,4,4.2,112,None,No,234.40
Intel,Core i5-2300,4,2.8,,95,Intel HD Graphics 2000,No,
Intel,Celeron G3900,2,2.8,,51,Intel HD Graphics 510,No,
Intel,Xeon E3-1230 V2,4,3.3,,69,None,Yes,404.35
AMD,A8-6600K,4,3.9,,100,Radeon HD 8570D,No,
AMD,Athlon II X4 620,4,2.6,,95,None,No,59.49
Intel,Core 2 Quad Q9550,4,2.83,,95,None,No,293.97
AMD,FX-8370,8,4,4.3,125,None,No,
AMD,Sempron 145,1,2.8,,45,None,No,59.99
Intel,Core i5-760,4,2.8,,95,None,No,144.03
AMD,FX-8150,8,3.6,,125,None,No,
Intel,Celeron G4900,2,3.1,,65,Intel UHD Graphics 610,No,
Intel,Celeron G1610,2,2.6,,55,Intel HD Graphics,No,37.00
Intel,Core i5-7600K,4,3.8,4.2,91,Intel HD Graphics 630,No,
AMD,A4-3300,2,2.5,,65,Radeon HD 6410D,No,85.00
Intel,Pentium Gold G6600,2,4.2,,58,Intel UHD Graphics 630,Yes,
Intel,Xeon E5-2680 V3,12,2.5,3.3,120,None,Yes,
Intel,Core i5-6400T,4,2.2,2.8,35,Intel HD Graphics 530,No,
Intel,Xeon E5-2680 V4,14,2.4,3.3,120,None,Yes,1790.00
Intel,Celeron 420,1,1.6,,35,None,No,49.95
Intel,Core i5-4570S,4,2.9,,65,Intel HD Graphics 4600,No,405.20
AMD,Phenom II X4 955,4,3.2,,125,None,No,
AMD,A4-5300,2,3.4,,65,Radeon HD 7480D,No,93.74
Intel,Xeon E-2288G,8,3.7,5,95,Intel HD Graphics P630,Yes,
AMD,A12-9800E,4,3.1,3.8,35,Radeon R7 (on-die),No,121.38
Intel,Xeon E5-2640,6,2.5,3,95,None,Yes,95.08
Intel,Xeon E5-2650L V2,10,1.7,2.1,70,None,Yes,289.05
Intel,Xeon E5-1620,4,3.6,3.8,130,None,Yes,
Intel,Core i7-980X Extreme Edition,6,3.33,,130,None,Yes,1106.07
Intel,Xeon E5-2680,8,2.7,3.5,130,None,Yes,104.45
Intel,Core i5-6500T,4,2.5,3.1,35,Intel HD Graphics 530,No,304.43
Intel,Core i9-9960X,16,3.1,4.4,165,None,Yes,759.99
Intel,Xeon E5-2687W V2,8,3.4,4,150,None,Yes,
AMD,A10-7800,4,3.5,3.9,65,Radeon R7 (on-die),No,
AMD,FX-9590,8,4.7,5,220,None,No,
Intel,Celeron 847,2,1.1,,17,Intel HD Graphics,No,
Intel,Core 2 Duo E7500,2,2.93,,65,None,No,100.00
AMD,A8-7650K,4,3.3,3.7,95,Radeon R7 (on-die),No,
Intel,Core i5-2400S,4,2.5,,65,Intel HD Graphics 2000,No,172.00
Intel,Core i5-8400T,6,1.7,3.3,35,Intel UHD Graphics 630,No,
Intel,Celeron G555,2,2.7,,65,Intel HD Graphics,No,
Intel,Core i5-8600K,6,3.6,4.3,95,Intel UHD Graphics 630,No,
Intel,Core i7-4770S,4,3.1,,65,Intel HD Graphics 4600,Yes,900.00
Intel,Core i7-4790S,4,3.2,4,65,Intel HD Graphics 4000,Yes,
Intel,Core i5-7500T,4,2.7,3.3,35,Intel HD Graphics 630,No,
AMD,A6-6400K,2,3.9,,65,Radeon HD 8470D,No,
