brand,model,chipset,memory,core_clock,boost_clock,color,length,price
EVGA,XC ULTRA GAMING,GeForce RTX 2080 SUPER,8,1650,1845,Transparent / Black,269.83,
EVGA,XC BLACK GAMING,GeForce GTX 1660,6,1530,1785,Black,189.89,237.49
Asus,STRIX GAMING OC,GeForce RTX 2070 SUPER,8,1635,1935,Black,299.7,
Zotac,GAMING AMP,GeForce GTX 1660 SUPER,6,1530,1845,Black,209.6,
MSI,GAMING,GeForce GTX 970,4,1140,1279,Black / Red,269,
NVIDIA,Founders Edition,GeForce GTX 1070 Ti,8,1607,1683,Silver / Black,267,
Asus,STRIX GAMING OC,GeForce RTX 2060,6,1365,1860,Black,300,
Gigabyte,GAMING,Radeon RX 580,8,1257,1355,Black / Orange,232,299.00
MSI,GAMING X,Radeon RX 5700,8,1610,1750,Black / Silver,297,393.99
XFX,RX-560P4SFG5,Radeon RX 560 - 1024,4,1295,,,170,137.21
EVGA,SC GAMING,GeForce GTX 1060 6GB,6,1607,1835,Black / Gray,173,
Gigabyte,GAMING,GeForce GTX 1080,8,1721,1860,Black / Orange,286,
NVIDIA,9001G4112520001,GeForce GTX 1070,8,1506,1683,Black / Silver,267,
Asus,DUAL MINI OC,GeForce RTX 2070,8,1410,1680,Black,197,
Asus,STRIX GAMING Advanced,GeForce RTX 2070 SUPER,8,1635,1830,Black,299.7,
Asus,ROG STRIX,GeForce GTX 1080,8,1670,1835,Black,298,
Asus,STRIX GAMING OC,GeForce RTX 2080 Ti,11,1350,1770,White,305,
MSI,GAMING X,GeForce GTX 1080,8,1607,1847,Black / Red,279,859.00
EVGA,XC GAMING,GeForce RTX 2070 SUPER,8,1605,1800,Transparent,269.83,1099.99
Asus,TUF GAMING,GeForce RTX 3090,24,1400,1725,Black,299.9,1550.49
MSI,VENTUS 3X,GeForce RTX 3070,8,1500,1725,Black / Silver,305,
Gigabyte,GAMING OC,GeForce GTX 1660,6,1530,1860,Black / Gray,280,312.94
XFX,RS XXX,Radeon RX 570,4,1168,1284,Black / Red,243,234.83
Zotac,GAMING Trinity,GeForce RTX 3080,10,1440,1710,Black,317.8,
Asus,TUF Gaming X3 EVO OC,Radeon RX 5600 XT,6,1247,1770,Black / Silver,282.6,335.99
Zotac,GAMING Trinity,GeForce RTX 3090,24,1400,1695,Black,317.8,
Gigabyte,GAMING OC PRO,GeForce RTX 2060,6,1680,1830,Black,280.35,
Sapphire,NITRO+,Radeon RX 6800 XT,16,1825,,Black / Silver,310,
Palit,GamingPro,GeForce RTX 3070,8,1500,1725,Black / Silver,294,
EVGA,SC GAMING ACX 3.0 Black Edition,GeForce GTX 1070,8,1594,1784,Black / Silver,267,699.00
Gigabyte,WINDFORCE OC,GeForce RTX 2080 SUPER,8,1650,1830,Black,286.512,1268.99
Gigabyte,OC,Radeon RX 5500 XT,8,1647,1845,Black / Gray,225,524.99
EVGA,FTW3 GAMING,GeForce RTX 3080,10,1440,1755,Black / Red,300,
MSI,VENTUS 3X OC,GeForce RTX 3090,24,1400,,Black,305,2449.98
Gigabyte,GAMING OC,GeForce GTX 1660 Ti,6,1500,1860,Black / Gray,280,
MSI,GT 710 2GD3H LP,GeForce GT 710,2,954,954,Black,146,58.89
EVGA,BLACK GAMING,GeForce RTX 2080 SUPER,8,1650,1815,Black,269.83,
MSI,GAMING X,GeForce GTX 1080 Ti,11,1569,1683,Black / Red,290,1149.00
EVGA,XC GAMING,GeForce RTX 2060 SUPER,8,1470,1695,Transparent,269.83,
Gigabyte,AORUS XTREME,GeForce RTX 2080 Ti,11,1350,1770,Black,290,
MSI,VENTUS OC,GeForce RTX 2070 SUPER,8,1605,1785,Black / Silver,257,
Gigabyte,GAMING OC 3X WHITE,GeForce RTX 2060 SUPER,8,1650,1815,White / Black,280.35,
Zotac,GAMING Trinity OC,GeForce RTX 3080,10,1440,1725,Black,317.8,
Asus,STRIX GAMING,GeForce RTX 3090,24,1400,1725,Black,318.5,
EVGA,XC3 ULTRA GAMING,GeForce RTX 3070,8,1500,1770,Black / Silver,285.242,
Gigabyte,OC,Radeon RX 5500 XT,4,1647,1845,Black / Gray,225,179.99
NVIDIA,Founders Edition,GeForce GTX 1080 Ti,11,1480,1582,Black / Silver,267,
Asus,DUAL MINI OC,GeForce RTX 2060,6,1365,1750,Black,197,698.99
Gigabyte,GAMING OC,Radeon RX 5600 XT,6,1247,1620,Black / Silver,280,
EVGA,XC ULTRA GAMING,GeForce RTX 2060 SUPER,8,1470,1695,Transparent,269.83,
Gigabyte,GAMING,Radeon RX 570,8,1244,1255,Black / Orange,232,203.98
Gigabyte,AORUS XTREME,GeForce RTX 3090,24,1400,1860,Black,319,
ASRock,Phantom Gaming D,Radeon RX 580,8,1257,1370,Black / Silver,236.2,237.71
Gigabyte,OC Rev 2.0,GeForce RTX 2060,6,1365,1755,Black / Gray,225.65,599.99
Asus,Phoenix Fan OC,GeForce GT 1030,2,1278,1531,Black / Blue,184,84.99
Gigabyte,TURBO,GeForce RTX 3090,24,1400,1695,Black,267,
Sapphire,PULSE,Radeon RX 5500 XT,8,1607,1845,Black,233,209.99
EVGA,XC GAMING,GeForce GTX 1660 Ti,6,1500,1845,Black,189.89,527.36
Asus,STRIX GAMING OC,GeForce RTX 2080 SUPER,8,1650,1890,White,305,
Asus,DUAL,GeForce GTX 1060 3GB,3,1594,1809,White,242,259.94
Asus,Phoenix OC,GeForce GTX 1650,4,1485,1710,Black,190,191.94
EVGA,FTW GAMING ACX 3.0,GeForce GTX 1070,8,1607,1797,Black / Gray,267,699.00
