brand,model,form_factor,eff_rating,wattage,modular,color,price
be quiet!,StraightPower11,ATX,80+ Platinum,850,Full,Black,174.90
Aerocool,LUX RGB M,ATX,80+ Bronze,750,Semi,Black,
EVGA,G2,ATX,80+ Gold,650,Full,,213.98
SeaSonic,PRIME Gold,ATX,80+ Gold,1300,Full,Black,
Asus,ROG Strix,ATX,80+ Gold,650,Full,Black / Red,127.99
Super Flower,LeadexIIIARGB,ATX,80+ Gold,650,Full,White,159.99
Silverstone,Essential,ATX,80+ Gold,550,No,Black / Yellow,73.25
Corsair,CX,ATX,80+ Bronze,600,No,,
Thermaltake,Smart RGB,ATX,80+,600,No,,69.99
Thermaltake,Smart Pro RGB,ATX,80+ Bronze,850,Full,,208.96
Gigabyte,AORUS P GM,ATX,80+ Gold,850,Full,Black / Silver,
be quiet!,PurePower11,ATX,80+ Gold,500,No,Black,79.98
Cooler Master,MWEBronzeV2,ATX,80+ Bronze,450,No,Black,
Asus,ROG Strix,ATX,80+ Gold,550,Full,Black / Red,123.99
EVGA,210-GQ-1000-V1,ATX,80+ Gold,1000,Semi,,189.94
Raidmax,Thunder RGB,ATX,80+ Bronze,735,Semi,Black,69.98
EVGA,P2,ATX,80+ Platinum,1200,Full,,
be quiet!,PurePower11,ATX,80+ Gold,700,No,Black,99.90
Cooler Master,MWEBronze,ATX,80+ Bronze,550,No,Black,89.99
Silverstone,SFX,SFX,80+ Bronze,300,No,,143.84
Silverstone,Essential,ATX,80+ Gold,650,No,Black,84.99
EVGA,SuperNOVA T2,ATX,80+ Titanium,850,Full,,343.94
Antec,Earthwatts Gold Pro,ATX,80+ Gold,550,Semi,Black,79.98
be quiet!,PurePower11,ATX,80+ Bronze,350,No,Black,147.24
KOLINK,Classic Power,ATX,80+ Bronze,400,No,Black / Red,
SeaSonic,Core GC,ATX,80+ Gold,650,No,Black,
EVGA,600B,ATX,80+ Bronze,600,No,,179.98
Corsair,SF,SFX,80+ Platinum,450,Full,Black,124.99
Athena Power,AP-P4ATX35,ATX,,350,No,,
Thermaltake,Smart BX1,ATX,80+ Bronze,750,No,Black,79.99
EVGA,500B,ATX,80+ Bronze,500,No,,
FSP Group,AU-1200PRO,ATX,80+ Gold,1200,No,,
Cooler Master,MWE,ATX,80+ Bronze,600,No,Black,69.99
be quiet!,PurePower11,ATX,80+ Gold,400,No,Black,127.40
ADATA,XPG CORE Reactor,ATX,80+ Gold,850,Full,Black,159.99
Rosewill,LEPTON 700,ATX,80+ Gold,700,Semi,,79.99
Raidmax,RX-530SS,ATX,,530,Semi,,54.99
SeaSonic,PRIME TX,ATX,80+ Titanium,1000,Full,Black,896.49
be quiet!,SystemPower9CM,ATX,80+ Bronze,500,Semi,Black,162.48
Silverstone,Strider,ATX,80+ Gold,750,Full,,
Silverstone,SX-G,SFX,80+ Gold,700,Full,Black,151.71
Enermax,Revolution D.F.,ATX,80+ Gold,650,Full,Black,117.72
Corsair,CXF,ATX,80+ Bronze,550,Full,Black,89.99
Rosewill,PHOTON-750,ATX,80+ Gold,750,Full,,94.99
SeaSonic,PRIME Ultra Platinum,ATX,80+ Platinum,850,Full,Black,
Antec,High Current Gamer Gold,ATX,80+ Gold,750,Full,Black,120.98
GameMax,RGB Rainbow,ATX,80+ Gold,750,Full,Black,
GameMax,GP,ATX,80+ Bronze,400,No,Black,
Deepcool,DQ750ST,ATX,80+ Gold,750,No,,
GAMDIAS,KRATOS P1 G,ATX,80+ Gold,650,No,Black,89.99
Silverstone,Strider Titanium,ATX,80+ Titanium,1500,Full,Black / Blue,540.51
Thermaltake,Smart RGB,ATX,80+,700,No,,
Corsair,VS,ATX,,350,No,,
Phanteks,Revolt X,ATX,80+ Platinum,1000,Full,Black / Silver,229.99
Fractal Design,IonSFX-L,SFX,80+ Gold,650,Full,Black,
Logisys,PS480D,ATX,,480,No,,21.99
KOLINK,Classic Power,ATX,80+ Bronze,500,No,Black / Red,
SeaSonic,PRIME Titanium,ATX,80+ Titanium,600,Full,Black,218.79
Thermaltake,Smart BX1 RGB,ATX,80+ Bronze,550,No,Black,69.99
be quiet!,DarkPowerPro11,ATX,80+ Platinum,850,Semi,,199.90
Cooler Master,V850,ATX,80+ Gold,850,Full,Black,
Cooler Master,MWEWhiteV2230V,ATX,80+,650,No,Black,
GameMax,GP,ATX,80+ Bronze,550,No,Black,
Corsair,RMi,ATX,80+ Gold,850,Full,,
Antec,NeoECO Gold,ATX,80+ Gold,650,Semi,Black,69.99
Silverstone,Essential,ATX,80+ Gold,750,Semi,Black / Blue,103.68
Silverstone,Essential,ATX,80+ Gold,650,Semi,Black / Blue,93.93
Rosewill,ARC 750,ATX,80+ Bronze,750,No,,59.99
KOLINK,ENCLAVE,ATX,80+ Gold,500,Full,Black / Yellow,
EVGA,P2,ATX,80+ Platinum,650,Full,,159.94
ADATA,XPG CORE Reactor,ATX,80+ Gold,750,Full,Black,139.99
EVGA,SuperNOVA GT,ATX,80+ Gold,750,Full,Black,
Antec,High Current Gamer Gold,ATX,80+ Gold,650,Full,Black,109.98
Gigabyte,GP-G750H,ATX,80+ Gold,750,Semi,Black,
SeaSonic,FOCUS,ATX,80+ Gold,850,Semi,Black,141.99
Corsair,RM,ATX,80+ Gold,750,Full,,244.00
Rosewill,ARC 650,ATX,80+ Bronze,650,No,,59.99
Corsair,CXF,ATX,80+ Bronze,550,Full,White / Black,89.99
SeaSonic,PRIME Ultra Platinum,ATX,80+ Platinum,750,Full,Black,164.99
EVGA,G2,ATX,80+ Gold,1600,Full,,406.99
SeaSonic,FOCUS,ATX,80+ Platinum,650,Full,Black,174.99
SeaSonic,PRIME Ultra Platinum,ATX,80+ Platinum,1000,Full,Black,
Thermaltake,Litepower,ATX,,650,No,,
EVGA,G1+,ATX,80+ Gold,850,Full,,149.94
Thermaltake,Toughpower GOLD,ATX,80+ Gold,750,Semi,,107.99
Thermaltake,Toughpower Grand RGB Platinum,ATX,80+ Platinum,1050,Full,Black,229.99
GAMDIAS,KRATOS M1 B,ATX,80+ Gold,750,Semi,Black,99.99
PC Power & Cooling,KRATOS M1 BPowerMaster,ATX,80+ Bronze,600,Semi,Black / Red,
CoolMax,V-400,ATX,,400,No,,26.34
Antec,NeoECO Classic,ATX,80+ Bronze,650,No,Black,76.98
KOLINK,Classic Power,ATX,80+ Bronze,700,No,Black / Red,
Silverstone,Strider Titanium,ATX,80+ Titanium,600,Full,,139.99
Corsair,CX,ATX,80+ Bronze,750,No,,298.99
Silverstone,SFX,SFX,80+ Platinum,700,Full,,181.86
EVGA,G2,ATX,80+ Gold,550,Full,,160.00
Thermaltake,Toughpower,ATX,80+ Gold,750,Semi,,107.99
Thermaltake,Toughpower GX1,ATX,80+ Gold,600,No,Black,84.99
Corsair,RMi,ATX,80+ Gold,750,Full,,
Super Flower,LeadexIIIARGB,ATX,80+ Gold,850,Full,White,199.99
Thermaltake,Smart RGB 230V,ATX,80+,500,No,Black,202.40
be quiet!,DarkPowerPro11,ATX,80+ Platinum,1000,Semi,,352.49
EVGA,100-W1-0430-KR,ATX,80+,430,No,,95.98
Fractal Design,IonSFX-L,SFX,80+ Gold,500,Full,Black,169.38
Silverstone,Strider,ATX,80+ Bronze,700,Full,,89.67
Corsair,RMi,ATX,80+ Gold,1000,Full,,
Thermaltake,Toughpower GF1,ATX,80+ Gold,650,Full,Black,99.99
Rosewill,PHOTON-1200,ATX,80+ Gold,1200,Full,,209.99
Segotep,GP700G,ATX,80+ Gold,700,No,Black,
be quiet!,StraightPower11,ATX,80+ Gold,550,Full,,274.99
SeaSonic,PRIME,ATX,80+ Gold,1000,Full,Black,
Silverstone,SFX,SFX,80+ Bronze,450,No,Black,74.99
SeaSonic,PRIME Platinum,ATX,80+ Platinum,1000,Full,,447.14
be quiet!,StraightPower11,ATX,80+ Platinum,750,Full,Black,
Silverstone,SFX,SFX,80+ Bronze,300,No,Black,61.99
EVGA,G1,ATX,80+ Gold,650,Full,,239.88
Corsair,RM,ATX,80+ Gold,650,Full,,229.99
Silverstone,SFX,SFX,80+ Bronze,450,No,,
Corsair,CX,ATX,80+ Bronze,500,No,,179.98
Cooler Master,MWEBronzeV2,ATX,80+ Bronze,700,No,Black,
EVGA,BT,ATX,80+ Bronze,450,No,,
PowerSpec,PS 750BSM,ATX,80+ Bronze,750,Semi,Black,
SeaSonic,PRIME Fanless,ATX,80+ Titanium,700,Full,Black,269.74
be quiet!,SystemPower9CM,ATX,80+ Bronze,700,Semi,Black,174.53
CoolMax,ZU-1000B,ATX,80+ Bronze,1000,Semi,,108.46
Thermaltake,Toughpower,ATX,80+ Gold,1200,Semi,,197.99
LEPA,MaxBron,ATX,80+ Bronze,800,Semi,,97.99
EVGA,G2,ATX,80+ Gold,1300,Full,,
Corsair,RM,ATX,80+ Gold,850,Full,,
SeaSonic,M12II,ATX,80+ Bronze,620,Full,,
KOLINK,Classic Power,ATX,80+ Bronze,600,No,Black / Red,
Silverstone,Strider,ATX,80+ Gold,650,Full,,
Raidmax,RX-630SS,ATX,,630,Semi,,55.95
FSP Group,DaggerPro,SFX,80+ Gold,650,Full,Black,127.49
SeaSonic,PRIME TX,ATX,80+ Titanium,750,Full,Black,
Cooler Master,V750,ATX,80+ Gold,750,Full,,
Gigabyte,AORUS P GM,ATX,80+ Gold,750,Full,Black / Silver,
Thermaltake,Toughpower DPS G,ATX,80+ Gold,650,Full,,
SHARKOON,SilentStorm Cool Zero,ATX,80+ Gold,650,Full,Black,151.47
Rosewill,ARC 450,ATX,80+ Bronze,450,No,,44.99
Thermaltake,Toughpower Grand RGB,ATX,80+ Gold,650,Full,,119.99
EVGA,SuperNOVA,ATX,80+ Gold,650,Full,,
SeaSonic,FOCUS Plus Platinum,ATX,80+ Platinum,550,Full,,116.00
Antec,NeoECO,ATX,80+ Bronze,550,Semi,Black,69.98
NZXT,E,ATX,80+ Gold,850,Full,Black,
PowerSpec,PS 550BF,ATX,80+ Bronze,550,No,Black,
be quiet!,StraightPower11,ATX,80+ Platinum,1200,Full,Black,624.99
Cooler Master,MWEBronzeV2,ATX,80+ Bronze,500,No,Black,
SeaSonic,FOCUS,ATX,80+ Platinum,550,Full,Black,291.99
Corsair,CSM,ATX,80+ Gold,650,Semi,,
SilentiumPC,Supremo FM2,ATX,80+ Gold,750,Full,Black,
PC Power & Cooling,Supremo FM2Silencer,ATX,80+ Platinum,1050,Full,,188.98
Fractal Design,IntegraM,ATX,80+ Bronze,750,Semi,,
PowerSpec,PS 650GSM,ATX,80+ Gold,650,Semi,Black,
Rosewill,Capstone,ATX,80+ Gold,650,Semi,,79.99
Cougar,COUGAR-GX1050,ATX,80+ Gold,1050,Semi,,
be quiet!,StraightPower11,ATX,80+ Platinum,650,Full,Black,134.90
