brand,model,speed,modules,price_per_gb,color,first_word_lat,cas_lat,price
Crucial,CT4G4DFS8266 4 GB,DDR4-2666,1 x 4GB,4.245,Green / Black,14.254,19,16.98
Corsair,Vengeance LPX 64 GB,DDR4-4000,4 x 16GB,8.550,Black / Yellow,9,18,547.21
G.Skill,Trident Z RGB 32 GB,DDR4-3200,2 x 16GB,4.031,Black,10,16,128.99
Corsair,Vengeance LPX 32 GB,DDR4-2133,2 x 16GB,3.750,Black / Yellow,12.189,13,119.99
Kingston,HyperX Fury RGB 16 GB,DDR4-3600,2 x 8GB,6.605,Black / Silver,9.444,17,105.68
Team,T-FORCE VULCAN TUF Gaming Allian 16 GB,DDR4-3000,2 x 8GB,5.687,Black / Gold,10.667,16,90.99
Team,T-FORCE VULCAN Z 8 GB,DDR4-3200,1 x 8GB,3.749,Black,10,16,29.99
Patriot,Viper Steel 16 GB,DDR4-4000,2 x 8GB,5.937,Silver / Black,9.5,19,94.99
Kingston,HyperX Fury 4 GB,DDR4-2666,1 x 4GB,4.995,Black / Silver,12.003,16,19.98
G.Skill,Trident Z RGB 32 GB,DDR4-4000,4 x 8GB,12.500,Black,7.5,15,399.99
Team,T-Force Delta RGB 16 GB,DDR4-3000,2 x 8GB,4.374,White,10.667,16,69.98
Team,T-FORCE VULCAN TUF Gaming Allian 16 GB,DDR4-3200,2 x 8GB,3.749,Gold / Black,10,16,59.99
Patriot,Signature 1 GB,DDR3-1333,1 x 1GB,5.990,Green,13.503,9,5.99
G.Skill,Trident Z RGB 32 GB,DDR4-4000,2 x 16GB,9.375,Black,8,16,299.99
Corsair,Dominator Platinum RGB 32 GB,DDR4-3200,4 x 8GB,7.500,Black,10,16,239.99
Corsair,Vengeance RGB Pro 64 GB,DDR4-3600,4 x 16GB,5.375,Black,10,18,344.00
Team,T-FORCE DARK Z 32 GB,DDR4-3200,2 x 16GB,3.281,Silver,10,16,104.99
Corsair,Vengeance LPX 16 GB,DDR4-3200,2 x 8GB,4.437,Black,10,16,70.99
Corsair,Vengeance RGB Pro 64 GB,DDR4-3200,2 x 32GB,4.062,Black,10,16,259.99
Team,T-FORCE VULCAN Z 16 GB,DDR4-2666,2 x 8GB,,Black,13.503,18,
G.Skill,Trident Z Royal 128 GB,DDR4-4000,4 x 32GB,5.312,Silver,9,18,679.99
G.Skill,Aegis 32 GB,DDR4-3000,2 x 16GB,3.281,Red / Black,10.667,16,104.99
Patriot,Viper Steel 16 GB,DDR4-3600,2 x 8GB,4.999,Silver / Black,9.444,17,79.99
G.Skill,Ripjaws V 16 GB,DDR4-4000,2 x 8GB,10.624,Black,7.5,15,169.99
Corsair,Vengeance RGB Pro 16 GB,DDR4-3600,2 x 8GB,11.249,Black,8.889,16,179.99
G.Skill,Trident Z Neo 16 GB,DDR4-3600,2 x 8GB,10.937,Black / Silver,7.778,14,174.99
Crucial,Ballistix RGB 32 GB,DDR4-3600,2 x 16GB,5.625,Black,8.889,16,179.99
Patriot,Signature 8 GB,DDR3-1600,2 x 4GB,4.374,Green,13.75,11,34.99
G.Skill,Ripjaws V Series 16 GB,DDR4-2400,2 x 8GB,3.749,Black / Red,12.5,15,59.99
G.Skill,Trident Z Royal 16 GB,DDR4-4800,2 x 8GB,31.188,Silver,7.5,18,499.00
Patriot,Signature 8 GB,DDR3-1600,1 x 8GB,3.998,Black / Green,13.75,11,31.98
Corsair,Dominator Platinum RGB 32 GB,DDR4-3600,4 x 8GB,10.541,White,10,18,337.30
Team,T-FORCE VULCAN Z 64 GB,DDR4-3200,2 x 32GB,,Gray,10,16,
Kingston,HyperX Predator 16 GB,DDR4-3200,2 x 8GB,5.848,Black / Silver,10,16,93.57
G.Skill,Trident Z Neo 32 GB,DDR4-3600,2 x 16GB,7.812,Black / Silver,8.889,16,249.99
G.Skill,Ripjaws V 128 GB,DDR4-3600,4 x 32GB,3.828,Black,10,18,489.99
Corsair,Vengeance LPX 16 GB,DDR4-3000,2 x 8GB,4.249,Black,10.667,16,67.99
Patriot,Viper Elite 16 GB,DDR4-2666,2 x 8GB,3.437,Silver / Black,12.003,16,54.99
Team,Elite Plus 16 GB,DDR4-2400,2 x 8GB,3.124,Gold / Black,13.333,16,49.99
Crucial,Ballistix 16 GB,DDR4-3000,2 x 8GB,3.749,White,10,15,59.99
G.Skill,Trident Z Royal 16 GB,DDR4-3600,2 x 8GB,8.249,Silver,8.889,16,131.99
Corsair,Vengeance LPX 8 GB,DDR4-2666,2 x 4GB,5.249,Black / Yellow,12.003,16,41.99
G.Skill,Trident Z 32 GB,DDR4-3200,2 x 16GB,3.750,Black / White,10,16,119.99
G.Skill,Ripjaws V 64 GB,DDR4-4000,2 x 32GB,4.219,Black,9,18,269.99
Corsair,Vengeance LPX 16 GB,DDR4-3000,2 x 8GB,4.437,Red,10,15,70.99
G.Skill,Aegis 8 GB,DDR4-2400,1 x 8GB,3.499,Black / Red,12.5,15,27.99
OLOy,MD4U1636181CHKDA 32 GB,DDR4-3600,2 x 16GB,3.093,Black,10,18,98.99
PNY,Anarchy-X 16 GB,DDR4-3200,2 x 8GB,4.061,Black / Red,10,16,64.98
Crucial,Ballistix Elite 32 GB,DDR4-3600,4 x 8GB,5.000,Black,8.889,16,159.99
OLOy,WarHawk RGB 16 GB,DDR4-3000,2 x 8GB,3.431,Black / White,10.667,16,54.90
Team,T-FORCE VULCAN Z 32 GB,DDR4-3200,2 x 16GB,2.953,Red,10,16,94.49
G.Skill,Ripjaws V 32 GB,DDR4-4000,2 x 16GB,8.437,Black,8,16,269.99
G.Skill,Trident Z Neo 128 GB,DDR4-3200,4 x 32GB,4.101,Black / Silver,10,16,524.99
G.Skill,Ripjaws V Series 32 GB,DDR4-3200,2 x 16GB,6.093,Black,8.75,14,194.99
G.Skill,Trident Z RGB 64 GB,DDR4-3200,4 x 16GB,6.234,Black,10,16,399.00
G.Skill,Aegis 32 GB,DDR4-3200,4 x 8GB,,Red / Black,10,16,
Crucial,Ballistix 16 GB,DDR4-2400,2 x 8GB,3.499,Black,13.333,16,55.99
G.Skill,Trident Z RGB 16 GB,DDR4-4400,2 x 8GB,12.499,Black,7.273,16,199.99
Crucial,CT2K4G4DFS824A 8 GB,DDR4-2400,2 x 4GB,4.119,Green,14.167,17,32.95
Corsair,Dominator Platinum RGB 16 GB,DDR4-3200,2 x 8GB,7.499,Black,10,16,119.99
G.Skill,Trident Z RGB 16 GB,DDR4-4266,2 x 8GB,13.062,Multicolor,8.908,19,209.00
Crucial,Ballistix 16 GB,DDR4-3200,2 x 8GB,4.374,White,10,16,69.99
Kingston,HyperX Fury RGB 8 GB,DDR4-3200,1 x 8GB,6.168,Black,10,16,49.34
Corsair,Dominator Platinum 64 GB,DDR4-2666,8 x 8GB,15.410,Black / Silver,11.253,15,986.27
Corsair,Vengeance LPX 16 GB,DDR4-2933,2 x 8GB,4.624,Black / Yellow,10.91,16,73.98
Team,Elite 16 GB,DDR3-1600,2 x 8GB,3.062,Black,13.75,11,48.99
Corsair,Vengeance LPX 16 GB,DDR4-3600,2 x 8GB,4.374,Black / Yellow,11.111,20,69.98
Kingston,HX426C13PBK4/32 32 GB,DDR4-2666,4 x 8GB,,Black,9.752,13,
Patriot,Viper Steel 32 GB,DDR4-3200,2 x 16GB,3.750,Silver / Black,10,16,119.99
G.Skill,Trident Z Neo 32 GB,DDR4-3600,4 x 8GB,6.031,Silver / Black,10,18,192.99
Corsair,Vengeance 8 GB,DDR3-1600,2 x 4GB,4.999,Black / Silver,11.25,9,39.99
G.Skill,Trident Z RGB 32 GB,DDR4-3600,2 x 16GB,7.343,Black,8.889,16,234.99
